# id,beta
0,1.73544
1,3.11501
2,6.46855
3,3.51608
4,6.46855
5,1.56193
6,3.51608
7,3.11501
8,6.46855
9,1.17098
10,2.11059
11,6.46855
12,3.38182
13,2.63117
14,3.11501
15,1.99917
16,0.95690
17,2.25507
18,1.99917
19,0.95690
20,1.19452
21,1.19452
22,1.96048
23,3.48692
24,1.06955
25,1.55497
26,3.26363
27,7.59585
28,1.30758
29,2.19916
30,1.81847
31,2.65308
32,1.26134
33,3.75224
34,2.14707
35,2.07121
36,2.76299
37,2.65308
38,1.79929
39,2.83374
40,3.43741
41,7.59585
42,2.40083
43,1.48701
44,5.59720
45,1.26134
46,2.19916
47,1.06027
48,1.09177
49,1.42702
50,1.12045
51,4.38284
52,3.72162
53,2.22902
54,7.59585
55,7.59585
56,3.72162
57,1.34131
58,1.96103
59,1.26134
60,7.59585
61,2.07121
62,2.58088
63,1.89899
64,5.59720
65,7.59585
66,2.11329
67,1.82707
68,2.92139
69,2.91762
70,2.02272
71,0.96118
72,0.92305
73,2.11329
74,2.92139
75,2.02272
76,2.11329
77,6.23870
78,2.91762
79,0.92854
80,2.11329
81,0.92305
82,2.11150
83,2.92139
84,2.02108
85,2.02108
86,2.02272
87,1.60194
88,2.11329
89,2.92139
90,1.82707
91,2.02108
92,0.92309
93,2.11329
94,2.92139
95,1.21661
96,1.82572
97,1.82572
98,1.60082
99,0.96106
100,2.02108
101,2.02272
102,1.82707
103,1.90010
104,2.11329
105,1.82707
106,2.02272
107,1.60194
108,4.73955
109,4.48431
110,3.41652
111,4.73955
112,2.69394
113,2.17088
114,2.26506
115,3.95878
116,3.95878
117,4.54021
118,3.96694
119,4.54021
120,3.95878
121,4.54021
122,3.95878
123,3.95878
124,3.95878
125,3.95878
126,3.96694
127,5.48128
128,0.90375
129,3.69326
130,1.94597
131,5.48128
132,4.02506
133,1.80956
134,4.02506
135,1.24242
136,4.21068
137,1.06918
138,1.80956
139,0.89565
140,0.94220
141,4.21068
142,1.04298
143,1.78585
144,3.69326
145,3.69326
146,2.87347
147,2.67481
148,1.06918
149,3.56668
150,3.56668
151,1.06918
152,2.67481
153,2.67481
154,2.67481
155,2.67481
156,1.58809
157,5.72574
158,4.06405
159,2.66338
160,4.06405
161,5.72574
162,1.96574
163,4.06405
164,2.37157
165,5.72574
166,5.72574
167,4.06405
168,5.72574
169,5.72574
170,4.06405
171,5.72574
172,1.81279
173,5.72574
174,4.06405
175,1.58809
176,1.70928
177,4.06405
178,4.06405
179,1.19831
180,2.66338
181,0.82209
182,0.83449
183,5.72574
184,2.52208
185,1.44464
186,2.06157
187,6.77480
188,6.77480
189,6.77480
190,6.77480
191,4.12662
192,6.77480
193,6.77480
194,4.28192
195,6.77480
196,4.28192
197,6.77480
198,6.77480
199,1.01250
200,1.80399
201,2.69123
202,1.52324
203,0.99619
204,1.61321
205,2.75028
206,3.38873
207,1.40164
208,2.06157
209,2.18842
210,3.38873
211,2.06157
212,2.69123
213,2.27409
214,3.38873
215,2.75028
216,1.03165
217,2.75028
218,2.27409
219,1.52324
220,4.28192
221,2.10367
222,0.99679
223,2.53413
224,2.05732
225,6.77753
226,4.60022
227,1.16086
228,1.14576
229,6.77753
230,1.12631
231,1.11374
232,4.09480
233,3.00203
234,1.75512
235,1.12631
236,4.60022
