# id,z0,z1
0,0.99312,0.00688
1,1.00000,0.00000
2,1.00000,0.00000
3,1.00000,0.00000
4,1.00000,0.00000
5,0.98085,0.01915
6,1.00000,0.00000
7,1.00000,0.00000
8,1.00000,0.00000
9,0.84939,0.15061
10,0.99936,0.00064
11,1.00000,0.00000
12,1.00000,0.00000
13,0.99979,0.00021
14,1.00000,0.00000
15,0.99869,0.00131
16,0.48037,0.51963
17,0.99975,0.00025
18,0.99869,0.00131
19,0.48037,0.51963
20,0.87530,0.12470
21,0.87530,0.12470
22,0.99529,0.00471
23,1.00000,0.00000
24,0.60892,0.39108
25,0.94883,0.05117
26,0.99999,0.00001
27,1.00000,0.00000
28,0.86225,0.13775
29,0.99765,0.00235
30,0.98430,0.01570
31,0.99978,0.00022
32,0.83526,0.16474
33,1.00000,0.00000
34,0.99693,0.00307
35,0.99548,0.00452
36,0.99988,0.00012
37,0.99978,0.00022
38,0.01715,0.98285
39,0.99992,0.00008
40,1.00000,0.00000
41,1.00000,0.00000
42,0.99918,0.00082
43,0.93217,0.06783
44,1.00000,0.00000
45,0.83526,0.16474
46,0.99765,0.00235
47,0.57747,0.42253
48,0.34049,0.65951
49,0.08632,0.91368
50,0.29449,0.70551
51,1.00000,0.00000
52,1.00000,0.00000
53,0.99798,0.00202
54,1.00000,0.00000
55,1.00000,0.00000
56,1.00000,0.00000
57,0.12089,0.87911
58,0.00784,0.99216
59,0.83526,0.16474
60,1.00000,0.00000
61,0.99548,0.00452
62,0.99968,0.00032
63,0.98934,0.01066
64,1.00000,0.00000
65,1.00000,0.00000
66,0.99961,0.00039
67,0.99750,0.00250
68,1.00000,0.00000
69,1.00000,0.00000
70,0.99930,0.00070
71,0.67134,0.32866
72,0.49910,0.50090
73,0.99961,0.00039
74,1.00000,0.00000
75,0.99930,0.00070
76,0.99961,0.00039
77,1.00000,0.00000
78,1.00000,0.00000
79,0.56627,0.43373
80,0.99961,0.00039
81,0.49910,0.50090
82,0.99961,0.00039
83,1.00000,0.00000
84,0.99929,0.00071
85,0.99929,0.00071
86,0.99930,0.00070
87,0.98956,0.01044
88,0.99961,0.00039
89,1.00000,0.00000
90,0.99750,0.00250
91,0.99929,0.00071
92,0.49442,0.50558
93,0.99961,0.00039
94,1.00000,0.00000
95,0.91051,0.08949
96,0.99748,0.00252
97,0.99748,0.00252
98,0.98949,0.01051
99,0.67107,0.32893
100,0.99929,0.00071
101,0.99930,0.00070
102,0.99750,0.00250
103,0.99844,0.00156
104,0.99961,0.00039
105,0.99750,0.00250
106,0.99930,0.00070
107,0.98956,0.01044
108,1.00000,0.00000
109,1.00000,0.00000
110,0.99997,0.00003
111,1.00000,0.00000
112,0.99908,0.00092
113,0.99999,0.00001
114,1.00000,0.00000
115,1.00000,0.00000
116,1.00000,0.00000
117,1.00000,0.00000
118,1.00000,0.00000
119,1.00000,0.00000
120,1.00000,0.00000
121,1.00000,0.00000
122,1.00000,0.00000
123,1.00000,0.00000
124,1.00000,0.00000
125,1.00000,0.00000
126,1.00000,0.00000
127,1.00000,0.00000
128,0.63002,0.36998
129,1.00000,0.00000
130,0.99931,0.00069
131,1.00000,0.00000
132,1.00000,0.00000
133,0.99827,0.00173
134,1.00000,0.00000
135,0.94149,0.05851
136,1.00000,0.00000
137,0.14455,0.85545
138,0.99827,0.00173
139,0.60133,0.39867
140,0.28430,0.71570
141,1.00000,0.00000
142,0.83487,0.16513
143,0.99799,0.00201
144,1.00000,0.00000
145,1.00000,0.00000
146,1.00000,0.00000
147,0.99999,0.00001
148,0.85545,0.14455
149,1.00000,0.00000
150,1.00000,0.00000
151,0.85545,0.14455
152,0.99999,0.00001
153,0.99999,0.00001
154,0.99999,0.00001
155,0.99999,0.00001
156,0.99882,0.00118
157,1.00000,0.00000
158,1.00000,0.00000
159,1.00000,0.00000
160,1.00000,0.00000
161,1.00000,0.00000
162,0.99996,0.00004
163,1.00000,0.00000
164,1.00000,0.00000
165,1.00000,0.00000
166,1.00000,0.00000
167,1.00000,0.00000
168,1.00000,0.00000
169,1.00000,0.00000
170,1.00000,0.00000
171,1.00000,0.00000
172,0.99984,0.00016
173,1.00000,0.00000
174,1.00000,0.00000
175,0.99882,0.00118
176,0.99959,0.00041
177,1.00000,0.00000
178,1.00000,0.00000
179,0.97137,0.02863
180,1.00000,0.00000
181,0.35615,0.64385
182,0.67992,0.32008
183,1.00000,0.00000
184,0.99991,0.00009
185,0.94955,0.05045
186,0.99840,0.00160
187,1.00000,0.00000
188,1.00000,0.00000
189,1.00000,0.00000
190,1.00000,0.00000
191,1.00000,0.00000
192,1.00000,0.00000
193,1.00000,0.00000
194,1.00000,0.00000
195,1.00000,0.00000
196,1.00000,0.00000
197,1.00000,0.00000
198,1.00000,0.00000
199,0.61390,0.38610
200,0.00740,0.99260
201,0.99997,0.00003
202,0.96579,0.03421
203,0.46105,0.53895
204,0.97855,0.02145
205,0.99998,0.00002
206,1.00000,0.00000
207,0.06186,0.93814
208,0.99840,0.00160
209,0.99927,0.00073
210,1.00000,0.00000
211,0.99840,0.00160
212,0.99997,0.00003
213,0.99957,0.00043
214,1.00000,0.00000
215,0.99998,0.00002
216,0.33889,0.66111
217,0.99998,0.00002
218,0.99957,0.00043
219,0.96579,0.03421
220,1.00000,0.00000
221,0.99877,0.00123
222,0.54410,0.45590
223,0.99980,0.00020
224,0.99702,0.00298
225,1.00000,0.00000
226,1.00000,0.00000
227,0.78426,0.21574
228,0.76975,0.23025
229,1.00000,0.00000
230,0.74916,0.25084
231,0.73436,0.26564
232,1.00000,0.00000
233,0.99999,0.00001
234,0.98492,0.01508
235,0.74916,0.25084
236,1.00000,0.00000
237,1.00000,0.00000
238,1.00000,0.00000
239,1.00000,0.00000
240,1.00000,0.00000
241,0.99992,0.00008
242,1.00000,0.00000
243,1.00000,0.00000
244,1.00000,0.00000
245,0.99977,0.00023
246,0.99948,0.00052
247,1.00000,0.00000
248,1.00000,0.00000
249,0.99998,0.00002
250,1.00000,0.00000
251,1.00000,0.00000
252,1.00000,0.00000
253,0.99857,0.00143
254,1.00000,0.00000
255,1.00000,0.00000
256,1.00000,0.00000
257,1.00000,0.00000
258,1.00000,0.00000
259,1.00000,0.00000
260,1.00000,0.00000
261,1.00000,0.00000
262,0.99994,0.00006
263,1.00000,0.00000
264,0.75227,0.24773
265,1.00000,0.00000
266,1.00000,0.00000
267,1.00000,0.00000
268,1.00000,0.00000
269,1.00000,0.00000
270,1.00000,0.00000
271,1.00000,0.00000
272,1.00000,0.00000
273,1.00000,0.00000
274,0.99882,0.00118
275,0.66052,0.33948
276,1.00000,0.00000
277,1.00000,0.00000
278,1.00000,0.00000
279,1.00000,0.00000
280,0.99973,0.00027
281,1.00000,0.00000
282,0.00000,1.00000
283,0.99995,0.00005
284,1.00000,0.00000
285,1.00000,0.00000
286,1.00000,0.00000
287,1.00000,0.00000
288,1.00000,0.00000
289,1.00000,0.00000
290,1.00000,0.00000
291,0.99968,0.00032
292,1.00000,0.00000
293,1.00000,0.00000
294,1.00000,0.00000
295,0.99999,0.00001
296,1.00000,0.00000
297,1.00000,0.00000
298,0.99947,0.00053
299,0.98264,0.01736
300,0.98264,0.01736
301,1.00000,0.00000
302,0.99996,0.00004
303,1.00000,0.00000
304,0.99998,0.00002
305,1.00000,0.00000
306,0.99998,0.00002
307,1.00000,0.00000
308,0.99996,0.00004
309,0.99996,0.00004
310,1.00000,0.00000
311,1.00000,0.00000
312,0.98224,0.01776
313,1.00000,0.00000
314,0.63604,0.36396
315,1.00000,0.00000
316,0.99913,0.00087
317,0.53298,0.46702
318,0.00100,0.99900
319,1.00000,0.00000
320,0.55625,0.44375
321,0.82102,0.17898
322,0.82102,0.17898
323,0.40137,0.59863
324,0.67802,0.32198
325,0.99999,0.00001
326,0.97748,0.02252
327,0.97748,0.02252
328,0.00000,1.00000
329,0.00000,1.00000
330,1.00000,0.00000
331,1.00000,0.00000
332,1.00000,0.00000
333,0.62018,0.37982
334,0.62018,0.37982
335,1.00000,0.00000
336,1.00000,0.00000
337,1.00000,0.00000
338,1.00000,0.00000
339,1.00000,0.00000
340,1.00000,0.00000
341,1.00000,0.00000
342,1.00000,0.00000
343,0.82654,0.17346
344,1.00000,0.00000
345,1.00000,0.00000
346,1.00000,0.00000
347,1.00000,0.00000
348,1.00000,0.00000
349,1.00000,0.00000
350,1.00000,0.00000
351,0.00951,0.99049
352,1.00000,0.00000
353,0.99960,0.00040
354,0.64509,0.35491
355,0.82654,0.17346
356,1.00000,0.00000
357,0.93868,0.06132
358,0.00951,0.99049
359,0.82825,0.17175
360,0.72803,0.27197
361,0.93868,0.06132
362,0.64509,0.35491
363,0.51620,0.48380
364,0.99590,0.00410
365,1.00000,0.00000
366,1.00000,0.00000
367,0.99977,0.00023
368,0.13050,0.86950
369,1.00000,0.00000
370,1.00000,0.00000
371,0.10084,0.89916
372,0.00012,0.99988
373,0.99678,0.00322
374,1.00000,0.00000
375,1.00000,0.00000
376,0.86388,0.13612
377,0.99969,0.00031
378,1.00000,0.00000
379,1.00000,0.00000
380,1.00000,0.00000
381,1.00000,0.00000
382,1.00000,0.00000
383,1.00000,0.00000
384,0.99984,0.00016
385,1.00000,0.00000
386,1.00000,0.00000
387,0.69584,0.30416
388,0.86550,0.13450
389,1.00000,0.00000
390,0.99573,0.00427
391,0.00270,0.99730
392,0.99188,0.00812
393,0.94044,0.05956
394,0.59050,0.40950
395,0.73217,0.26783
396,0.29346,0.70654
397,0.83150,0.16850
398,0.99908,0.00092
399,1.00000,0.00000
400,0.56349,0.43651
401,0.70423,0.29577
402,0.99910,0.00090
403,0.99908,0.00092
404,0.15533,0.84467
405,0.83234,0.16766
406,0.99244,0.00756
407,0.99503,0.00497
408,1.00000,0.00000
409,1.00000,0.00000
410,0.01660,0.98340
411,0.99908,0.00092
412,0.01660,0.98340
413,1.00000,0.00000
414,0.73217,0.26783
415,0.29346,0.70654
416,0.85686,0.14314
417,0.07491,0.92509
418,0.56349,0.43651
419,0.98890,0.01110
420,0.99997,0.00003
421,0.59050,0.40950
422,0.15533,0.84467
423,1.00000,0.00000
424,1.00000,0.00000
425,1.00000,0.00000
426,0.99998,0.00002
427,0.99982,0.00018
428,1.00000,0.00000
429,1.00000,0.00000
430,1.00000,0.00000
431,0.96447,0.03553
432,1.00000,0.00000
433,0.99998,0.00002
434,0.99994,0.00006
435,1.00000,0.00000
436,0.01536,0.98464
437,0.54638,0.45362
438,1.00000,0.00000
439,1.00000,0.00000
440,1.00000,0.00000
441,1.00000,0.00000
442,1.00000,0.00000
443,1.00000,0.00000
444,1.00000,0.00000
445,1.00000,0.00000
446,1.00000,0.00000
447,1.00000,0.00000
448,1.00000,0.00000
449,1.00000,0.00000
450,1.00000,0.00000
451,0.99671,0.00329
452,0.99999,0.00001
453,1.00000,0.00000
454,0.54638,0.45362
455,0.99998,0.00002
456,0.99999,0.00001
457,0.86550,0.13450
458,1.00000,0.00000
459,0.71317,0.28683
460,0.35035,0.64965
461,1.00000,0.00000
462,0.77852,0.22148
463,1.00000,0.00000
464,1.00000,0.00000
465,0.99573,0.00427
466,0.99984,0.00016
467,1.00000,0.00000
468,0.86550,0.13450
469,1.00000,0.00000
470,0.04825,0.95175
471,0.77038,0.22962
472,0.80510,0.19490
473,0.98473,0.01527
474,0.05760,0.94240
475,0.00056,0.99944
476,0.00000,1.00000
477,0.00056,0.99944
478,0.19451,0.80549
479,0.99870,0.00130
480,0.53939,0.46061
481,0.98281,0.01719
482,0.90769,0.09231
483,1.00000,0.00000
484,1.00000,0.00000
485,1.00000,0.00000
486,0.98585,0.01415
487,0.99811,0.00189
488,0.98116,0.01884
489,0.99997,0.00003
490,1.00000,0.00000
491,0.21164,0.78836
492,0.02625,0.97375
493,0.68000,0.32000
494,1.00000,0.00000
495,1.00000,0.00000
496,1.00000,0.00000
497,1.00000,0.00000
498,1.00000,0.00000
499,1.00000,0.00000
500,0.99110,0.00890
501,1.00000,0.00000
502,1.00000,0.00000
503,1.00000,0.00000
504,1.00000,0.00000
505,0.02416,0.97584
506,1.00000,0.00000
507,1.00000,0.00000
508,1.00000,0.00000
509,1.00000,0.00000
510,1.00000,0.00000
511,1.00000,0.00000
512,0.52039,0.47961
513,0.99986,0.00014
514,1.00000,0.00000
515,1.00000,0.00000
516,1.00000,0.00000
517,1.00000,0.00000
518,0.99999,0.00001
519,1.00000,0.00000
520,1.00000,0.00000
521,1.00000,0.00000
522,1.00000,0.00000
523,0.99986,0.00014
524,0.99960,0.00040
525,0.99995,0.00005
526,1.00000,0.00000
527,1.00000,0.00000
528,1.00000,0.00000
529,0.99975,0.00025
530,1.00000,0.00000
531,1.00000,0.00000
532,1.00000,0.00000
533,1.00000,0.00000
534,1.00000,0.00000
535,0.85068,0.14932
536,0.00169,0.99831
537,0.99993,0.00007
538,1.00000,0.00000
539,1.00000,0.00000
540,1.00000,0.00000
541,1.00000,0.00000
542,1.00000,0.00000
543,1.00000,0.00000
544,1.00000,0.00000
545,1.00000,0.00000
546,0.99998,0.00002
547,1.00000,0.00000
548,1.00000,0.00000
549,0.97428,0.02572
550,1.00000,0.00000
551,1.00000,0.00000
552,0.76605,0.23395
553,1.00000,0.00000
554,1.00000,0.00000
555,1.00000,0.00000
556,1.00000,0.00000
557,1.00000,0.00000
558,1.00000,0.00000
559,1.00000,0.00000
560,0.99888,0.00112
561,0.20875,0.79125
562,0.43425,0.56575
563,0.43425,0.56575
564,1.00000,0.00000
565,0.99970,0.00030
566,0.96304,0.03696
567,1.00000,0.00000
568,0.00003,0.99997
569,1.00000,0.00000
570,1.00000,0.00000
571,0.99987,0.00013
572,1.00000,0.00000
573,1.00000,0.00000
574,0.94147,0.05853
575,0.94355,0.05645
576,0.99991,0.00009
577,0.99993,0.00007
578,0.89639,0.10361
579,0.99813,0.00187
580,0.87027,0.12973
581,0.01225,0.98775
